,,東京都都市公園等区市町村別面積・人口割比率表(令和7年4月1日現在）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,面積,人口,人口密度,都市公園,,,,,,,,,,都市公園以外の都区市町村立公園,,,,,,,,国都区市町村立公園,,,,その他（ニ）,,,,,,一人,,,,
,,,,,,,,,,,,,一人当た,面積の,,,,,,,,,,,一人当た,面積の,,,,,総合計,,当たり,面積の,,,
,行政区分,(Ａ）,（Ｂ）,（Ｂ／Ａ）,都立公園,,区市町村立公園,,国営公園,,都市公園の計,,り面積,割合,自然ふれあい公園,,海上公園,,区市町村立公園,,都市公園以外の計,,公立公園合計,,り面積,割合,,,公団・公社の,,(ホ)ハ+ニ,,面積,割合,行政区分,,
,,,,,,,,,,,（イ）,,イ／Ｂ,イ／Ａ,,,,,,,(ロ),,(ハ)イ+ロ,,ハ／Ｂ,ハ／A,,国民公園等,設置する公園,,,,(ホ/B),(ホ/A),,,
,,k㎡,人,（人／k㎡）,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡, ㎡,％,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡, ㎡,％,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡, ㎡,％,,,
6,府中市,29.43,"263,224","8,944",3,"490,162.46",273,"1,317,776.97",,,276,"1,807,939.43",6.87,6.14,,,,,98,"65,515.95 ",98 ,"65,515.95 ",374 ,"1,873,455.38 ",7.12,6.37,,,3,"10,897.00 ",377 ,"1,884,352.38",7.16,6.4,府中市,,府中市計
7,昭島市,17.34,"116,088","6,695",0,"13,123.67",44,"483,946.64",0,"616,000.00",44,"1,113,070.31",9.59,6.42,,,,,49,"32,748.34 ",49 ,"32,748.34 ",93 ,"1,145,818.65 ",9.87,6.61,,,5,"9,288.19 ",98 ,"1,155,106.84",9.95,6.66,昭島市,,昭島市計
8,調布市,21.58,"244,704","11,339",3,"971,172.02",209,"303,797.31",,,212,"1,274,969.33",5.21,5.91,,,,,21,"53,690.32 ",21 ,"53,690.32 ",233 ,"1,328,659.65 ",5.43,6.16,,,3,"30,427.46 ",236 ,"1,359,087.11",5.55,6.3,調布市,,調布市計
9,町田市,71.55,"432,032","6,038",3,"1,056,472.35",733,"3,456,637.86",,,736,"4,513,110.21",10.45,6.31,,,,,85,"1,092,765.78 ",85 ,"1,092,765.78 ",821 ,"5,605,875.99 ",12.98,7.83,,,12,"75,636.67 ",833 ,"5,681,512.66",13.15,7.94,町田市,,町田市計
10,小金井市,11.30,"127,996","11,327",1,"730,364.29",11,"70,277.00",,,12,"800,641.29",6.26,7.09,,,,,196,"69,412.00 ",196 ,"69,412.00 ",208 ,"870,053.29 ",6.80,7.70,,,5,"11,331.20 ",213 ,"881,384.49",6.89,7.8,小金井市,,小金井市計
11,小平市,20.51,"200,112","9,757",2,"161,062.31",325,"364,249.00",,,327,"525,311.31",2.63,2.56,,,,,0,0.00 ,0 ,0.00 ,327 ,"525,311.31 ",2.63,2.56,,,1,"12,680.00 ",328 ,"537,991.31",2.69,2.62,小平市,,小平市計
12,日野市,27.55,"192,228","6,977",1,"602,513.37",208,"738,578.86",,,209,"1,341,092.23",6.98,4.87,,,,,24,"31,655.25 ",24 ,"31,655.25 ",233 ,"1,372,747.48 ",7.14,4.98,,,6,"86,576.33 ",239 ,"1,459,323.81",7.59,5.3,日野市,,日野市計
13,東村山市,17.14,"151,974","8,867",3,"657,884.91",19,"140,223.10",,,22,"798,108.01",5.25,4.66,,,,,143,"69,273.55 ",143 ,"69,273.55 ",165 ,"867,381.56 ",5.71,5.06,,,4,"14,998.82 ",169 ,"882,380.38",5.81,5.15,東村山市,,東村山市計
14,国分寺市,11.46,"132,388","11,552",2,"135,732.02",17,"92,175.75",,,19,"227,907.77",1.72,1.99,,,,,156,"104,987.70 ",156 ,"104,987.70 ",175 ,"332,895.47 ",2.51,2.9,,,3,"2,359.24 ",178 ,"335,254.71",2.53,2.93,国分寺市,,国分寺市計
15,国立市,8.15,"76,790","9,422",0,0.00,25,"157,628.94",,,25,"157,628.94",2.05,1.93,,,,,56,"47,169.78 ",56 ,"47,169.78 ",81 ,"204,798.72 ",2.67,2.51,,,2,"7,377.34 ",83 ,"212,176.06",2.76,2.6,国立市,,国立市計
16,福生市,10.16,"55,974","5,509",0,498.14,55,"402,101.99",,,55,"402,600.13",7.19,3.96,,,,,14,"5,742.83 ",14 ,"5,742.83 ",69 ,"408,342.96 ",7.3,4.02,,,3,"15,854.22 ",72 ,"424,197.18",7.58,4.18,福生市,,福生市計
17,狛江市,6.39,"83,581","13,080",0,0.00,84,"124,363.52",,,84,"124,363.52",1.49,1.95,,,,,0,0.00 ,0 ,0.00 ,84 ,"124,363.52 ",1.49,1.95,,,0,"7,057.48 ",84 ,"131,421.00",1.57,2.06,狛江市,,狛江市計
18,東大和市,13.42,"83,471","6,220",2,"388,294.40",103,"343,240.22",,,105,"731,534.62",8.76,5.45,,,,,15,"15,162.25 ",15 ,"15,162.25 ",120 ,"746,696.87 ",8.95,5.56,,,2,"9,293.14 ",122 ,"755,990.01",9.06,5.63,東大和市,,東大和市計
19,清瀬市,10.23,"76,597","7,487",0,0.00,113,"280,137.32",,,113,"280,137.32",3.66,2.74,,,,,0,0.00 ,0 ,0.00 ,113 ,"280,137.32 ",3.66,2.74,,,5,"11,494.45 ",118 ,"291,631.77",3.81,2.85,清瀬市,,清瀬市計
20,東久留米市,12.88,"114,518","8,891",1,"76,241.69",149,"210,032.68",,,150,"286,274.37",2.50,2.22,,,,,4,"2,485.30 ",4 ,"2,485.30 ",154 ,"288,759.67 ",2.52,2.24,,,5,"36,285.62 ",159 ,"325,045.29",2.84,2.52,東久留米市,,東久留米市計
21,武蔵村山市,15.32,"69,408","4,531",1,"1,064,696.59",18,"220,235.75",,,19,"1,284,932.34",18.51,8.39,,,,,53,"29,779.07 ",53 ,"29,779.07 ",72 ,"1,314,711.41 ",18.94,8.58,,,1,25.00 ,73 ,"1,314,736.41",18.94,8.58,武蔵村山市,,武蔵村山市計
22,多摩市,21.01,"146,685","6,982",1,"339,946.30",208,"2,013,928.88",,,209,"2,353,875.18",16.05,11.20,,,,,0,0.00 ,0 ,0.00 ,209 ,"2,353,875.18 ",16.05,11.2,,,9,"17,976.30 ",218 ,"2,371,851.48",16.17,11.29,多摩市,,多摩市計
23,稲城市,17.97,"95,218","5,299",0,0.00,138,"1,029,004.77",,,138,"1,029,004.77",10.81,5.73,,,,,0,0.00 ,0 ,0.00 ,138 ,"1,029,004.77 ",10.81,5.73,,,4,"11,713.12 ",142 ,"1,040,717.89",10.93,5.79,稲城市,,稲城市計
24,羽村市,9.90,"53,458","5,400",0,0.00,72,"351,915.37",,,72,"351,915.37",6.58,3.55,,,,,20,"15,797.57 ",20 ,"15,797.57 ",92 ,"367,712.94 ",6.88,3.71,,,1,"7,630.00 ",93 ,"375,342.94",7.02,3.79,羽村市,,羽村市計
25,あきる野市,73.47,"78,028","1,062",1,"118,447.07",32,"181,039.74",,,33,"299,486.81",3.84,0.41,1,"108,330.48",,,40,"37,902.21 ",41 ,"146,232.69 ",74 ,"445,719.50 ",5.71,0.61,,,0,0.00 ,74 ,"445,719.50",5.71,0.61,あきる野市,,あきる野市計
26,西東京市,15.75,"207,783","13,193",1,"105,877.82",52,"173,001.35",,,53,"278,879.17",1.34,1.77,,,,,230,"88,404.08",230 ,"88,404.08 ",283 ,"367,283.25 ",1.77,2.33,,,9,"29,702.52 ",292 ,"396,985.77",1.91,2.52,西東京市,,西東京市計
,市部,783.96,"4,240,210","5,409",32,"9,149,074.14","4,058","19,645,418.55",1,"1,694,000.00","4,091","30,488,492.69",7.19,3.89,1,"108,330.48",0,0.00 ,"1,685","2,264,067.65 ","1,686 ","2,372,398.13 ","5,777 ","32,860,890.83 ",7.75,4.19,1,"9,099.87",118,"493,860.16 ","5,896 ","33,363,850.86",7.87,4.26,市部,,市部
,都市部（計）,"1,411.47","14,144,805","10,021",82,"19,586,758.71","8,667","38,256,572.21",2,"1,761,000.00","8,751","59,604,330.93",4.21,4.22,1,"108,330.48",40,"9,460,179.72 ","3,082","3,268,979.10 ","3,123 ","12,837,489.30 ","11,874 ","72,441,820.23 ",5.12,5.13,12,"3,554,134.83",265,"805,144.76 ","12,151 ","76,801,099.82",5.43,5.44,都市部（計）,,都市部（計）
1,瑞穂町,16.85,"31,131","1,848",1,"1,051,651.96",57,"172,846.53",,,58,"1,224,498.49",39.33,7.27,,,,,0,0.00 ,0 ,0.00 ,58 ,"1,224,498.49 ",39.33,7.27,,,0,0.00 ,58 ,"1,224,498.49",39.33,7.27,瑞穂町,,瑞穂町計
2,日の出町,28.07,"16,337",582,0,0.00,23,"55,644.70",,,23,"55,644.70",3.41,0.20,,,,,2,"2,160.66 ",2 ,"2,160.66 ",25 ,"57,805.36 ",3.54,0.21,,,0,0.00 ,25 ,"57,805.36",3.54,0.21,日の出町,,日の出町計
3,檜原村,105.41,"1,790",17,0,0.00,0,0.00,,,0,0.00,0.00,0.00,,,,,0,0.00 ,0 ,0.00 ,0 ,0.00 ,0.00,0.00,,,0,0.00 ,0 ,0.00,0.00,0.00,檜原村,,檜原村計
4,奥多摩町,225.53,"4,203",19,0,0.00,0,0.00,,,0,0.00,0.00,0.00,1,"302,308.57",,,2,25816.42,3 ,"328,124.99 ",3 ,"328,124.99 ",78.07,0.15,,,0,0.00 ,3 ,"328,124.99",78.07,0.15,奥多摩町,,奥多摩町計
,郡部（計）,375.86,"53,461",142,1,"1,051,651.96",80,"228,491.23",0,0.00,81,"1,280,143.19",23.95,0.34,1,"302,308.57",0,0.00 ,4,"27,977.08 ",5 ,"330,285.65 ",86 ,"1,610,428.84 ",30.12,0.43,0,0.00,0,0.00 ,86 ,"1,610,428.84",30.12,0.43,郡部（計）,,郡部（計）
,合計（除島部）,"1,787.33","14,198,266","7,944",83,"20,638,410.67","8,747","38,485,063.44",2,"1,761,000.00","8,832","60,884,474.12",4.29,3.41,2,"410,639.05",40,"9,460,179.72 ","3,086","3,296,956.18 ","3,128 ","13,167,774.95 ","11,960 ","74,052,249.07 ",5.22,4.14,12,"3,554,134.83",265,"805,144.76 ","12,237 ","78,411,528.66",5.52,4.39,合計（除島部）,,合計（除島部）
1,大島町,90.76,"6,208",68,0,0.00,2,"68,546.94",,,2,"68,546.94",11.04,0.08,1,"3,277,542.00",,,4,"59,676.00 ",5 ,"3,337,218.00 ",7 ,"3,405,764.94 ",548.61,3.75,,,0,0.00 ,7 ,"3,405,764.94",548.61,3.75,大島町,,大島町計
